Country,Seats2000,Seats2001,Seats2002,Seats2003,Seats2004,Seats2005,Seats2006,Seats2007,Seats2008,Seats2009,Seats2010,Seats2011,Seats2012,Seats2013,Seats2014,Seats2015,Internet2000,Internet2001,Internet2002,Internet2003,Internet2004,Internet2005,Internet2006,Internet2007,Internet2008,Internet2009,Internet2010,Internet2011,Internet2012,Internet2013,Internet2014,Internet2015
Afghanistan,,,,,,25.9,26.24,26.58,26.92,27.26,27.6,27.6,27.6,27.6,27.6,27.4,,,,,,1.2,1.76,2.32,2.88,3.44,4,5,5.5,5.9,7,8.3
Albania,5.2,5.58,5.96,6.34,6.72,7.1,8.96,10.82,12.68,14.54,16.4,15.7,15.7,17.9,20,20.7,0.1,1.28,2.46,3.64,4.82,6,13.8,21.6,29.4,37.2,45,49,54.7,57.2,60.1,63.3
Algeria,4,4.26,4.52,4.78,5.04,5.3,5.64,5.98,6.32,6.66,7,7.2,25.8,25.8,25.7,25.7,0.5,1.56,2.62,3.68,4.74,5.8,7.14,8.48,9.82,11.16,12.5,14,15.2,16.5,25,38.2
Andorra,7.1,11.4,15.7,20,24.3,28.6,30.02,31.44,32.86,34.28,35.7,50,50,50,50,39.3,10.5,15.92,21.34,26.76,32.18,37.6,46.28,54.96,63.64,72.32,81,81,86.4,94,95.9,96.9
Angola,15.5,15.4,15.3,15.2,15.1,15,19.72,24.44,29.16,33.88,38.6,38.2,34.1,34.1,36.8,36.8,0.1,0.3,0.5,0.7,0.9,1.1,1.44,1.78,2.12,2.46,2.8,3.1,6.5,8.9,10.2,12.4
Antigua and Barbuda,8.3,9.42,10.54,11.66,12.78,13.9,15,16.1,17.2,18.3,19.4,19.4,19.4,19.4,21.2,25.7,6.5,10.6,14.7,18.8,22.9,27,31,35,39,43,47,52,58,63.4,64,65.2
Argentina,21.3,24.52,27.74,30.96,34.18,37.4,37.48,37.56,37.64,37.72,37.8,37.7,37.7,37.1,37.1,37.1,7,9.14,11.28,13.42,15.56,17.7,23.16,28.62,34.08,39.54,45,51,55.8,59.9,64.7,69.4
Armenia,3.1,3.54,3.98,4.42,4.86,5.3,6.08,6.86,7.64,8.42,9.2,8.4,10.7,10.7,10.7,10.7,1.3,2.1,2.9,3.7,4.5,5.3,9.24,13.18,17.12,21.06,25,32,37.5,41.9,54.6,58.2
Australia,25,25.66,26.32,26.98,27.64,28.3,28.3,28.3,28.3,28.3,28.3,29.2,29.2,31.1,30.1,30.5,46.8,50.04,53.28,56.52,59.76,63,65.6,68.2,70.8,73.4,76,79.5,79,83.5,84,84.6
Austria,25.1,26.52,27.94,29.36,30.78,32.2,31.42,30.64,29.86,29.08,28.3,28.7,28.7,32.2,31.4,30.3,33.7,38.56,43.42,48.28,53.14,58,61.44,64.88,68.32,71.76,75.2,78.7,80,80.6,81,83.9
Azerbaijan,12.375,12.5,12.625,12.75,12.875,13,13.6,14.2,14.8,15.4,16,16,16,15.6,15.6,16.9,0.1,1.68,3.26,4.84,6.42,8,15.6,23.2,30.8,38.4,46,50,54.2,73,75,77
Bahamas,19.6,21.04,22.48,23.92,25.36,26.8,25.02,23.24,21.46,19.68,17.9,17.9,16.7,16.7,16.7,16.7,8,11.4,14.8,18.2,21.6,25,28.6,32.2,35.8,39.4,43,65,71.7,72,76.9,78
Bahrain,,,,,,7.5,9,10.5,12,13.5,15,18.8,18.8,18.8,17.5,15,6.2,9.22,12.24,15.26,18.28,21.3,28.04,34.78,41.52,48.26,55,77,88,90,90.5,93.5
Bangladesh,9.1,10.24,11.38,12.52,13.66,14.8,15.56,16.32,17.08,17.84,18.6,19.7,19.7,19.7,19.8,20,0.1,0.12,0.14,0.16,0.18,0.2,0.9,1.6,2.3,3,3.7,4.5,5,6.6,13.9,14.4
Barbados,20.4,19.84,19.28,18.72,18.16,17.6,18,18.4,18.8,19.2,19.6,19.6,19.6,21.6,21.6,19.6,4,13.7,23.4,33.1,42.8,52.5,55.02,57.54,60.06,62.58,65.1,66.5,71.2,71.8,75.2,76.1
Belarus,,,,,,29.8,30.26,30.72,31.18,31.64,32.1,32.1,29.5,29.5,29.5,29.2,1.9,4.89,7.88,10.87,13.86,16.85,19.84,22.83,25.82,28.81,31.8,39.6,46.9,54.2,59,62.2
Belgium,24.9,27.06,29.22,31.38,33.54,35.7,36.34,36.98,37.62,38.26,38.9,38.9,38.9,38.9,42.4,42.4,29.4,34.68,39.96,45.24,50.52,55.8,59.64,63.48,67.32,71.16,75,81.6,80.7,82.2,85,85.1
Belize,13.5,13.18,12.86,12.54,12.22,11.9,11.74,11.58,11.42,11.26,11.1,11.1,13.3,13.3,13.3,13.3,6,8.2,10.4,12.6,14.8,17,19.24,21.48,23.72,25.96,28.2,30.7,31,33.6,38.7,41.6
Benin,6,6.24,6.48,6.72,6.96,7.2,7.92,8.64,9.36,10.08,10.8,8.4,8.4,8.4,8.4,7.2,0.2,0.42,0.64,0.86,1.08,1.3,1.66,2.02,2.38,2.74,3.1,4.1,4.5,4.9,6,6.8
Bhutan,9.3,9.3,9.3,9.3,9.3,9.3,10.22,11.14,12.06,12.98,13.9,13.9,13.9,6.9,8.3,8.3,0.4,1.08,1.76,2.44,3.12,3.8,5.76,7.72,9.68,11.64,13.6,14.4,15.6,22.4,30.3,39.8
Bolivia (Plurinational State of),10.2,11.1,12,12.9,13.8,14.7,17.78,20.86,23.94,27.02,30.1,30.1,30.1,30.1,51.8,51.8,1.4,2.16,2.92,3.68,4.44,5.2,8.64,12.08,15.52,18.96,22.4,30,35.3,37,34.6,45.1
Bosnia and Herzegovina,,,,,,12.3,13,13.7,14.4,15.1,15.8,19.3,19.3,19.3,19.3,19.3,1.1,5.14,9.18,13.22,17.26,21.3,25.6,29.9,34.2,38.5,42.8,47.8,52.8,57.8,60.8,65.1
Botswana,17,15.82,14.64,13.46,12.28,11.1,10.46,9.82,9.18,8.54,7.9,7.9,7.9,7.9,9.5,9.5,2.9,2.98,3.06,3.14,3.22,3.3,3.84,4.38,4.92,5.46,6,8,11.5,15,18.5,27.5
Brazil,5.9,6.54,7.18,7.82,8.46,9.1,9.2,9.3,9.4,9.5,9.6,9.6,9.6,9.6,10.4,10.8,2.9,6.52,10.14,13.76,17.38,21,24.92,28.84,32.76,36.68,40.6,45.7,48.6,51,54.6,59.1
Bulgaria,10.8,13.06,15.32,17.58,19.84,22.1,21.84,21.58,21.32,21.06,20.8,20.8,22.9,24.6,20,20.4,5.4,8.32,11.24,14.16,17.08,20,25.24,30.48,35.72,40.96,46.2,48,51.9,53.1,55.5,56.7
Burkina Faso,10.5,10.74,10.98,11.22,11.46,11.7,12.42,13.14,13.86,14.58,15.3,15.3,15.7,15.7,15.7,9.4,0.1,0.18,0.26,0.34,0.42,0.5,0.88,1.26,1.64,2.02,2.4,3,3.7,9.1,9.4,11.4
Burundi,14.4,17.86,21.32,24.78,28.24,31.7,32.58,33.46,34.34,35.22,36.1,34.9,34.9,34.9,34.9,37.8,0.1,0.18,0.26,0.34,0.42,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,4.9
Cabo Verde,11.1,11.1,11.1,11.1,11.1,11.1,12.5,13.9,15.3,16.7,18.1,20.8,20.8,20.8,20.8,20.8,1.8,2.66,3.52,4.38,5.24,6.1,10.88,15.66,20.44,25.22,30,32,34.7,37.5,40.3,43
Cambodia,9.3,9.62,9.94,10.26,10.58,10.9,12.52,14.14,15.76,17.38,19,18.5,18.5,18.5,18.5,19,0,0.06,0.12,0.18,0.24,0.3,0.5,0.7,0.9,1.1,1.3,3.1,4.9,6.8,14,19
Cameroon,5.6,6.26,6.92,7.58,8.24,8.9,9.9,10.9,11.9,12.9,13.9,13.9,13.9,27.1,27.1,27.1,0.3,0.52,0.74,0.96,1.18,1.4,1.98,2.56,3.14,3.72,4.3,5,8.7333,12.4667,16.2,20.7
Canada,22.5125,22.95,23.388,23.825,24.263,24.7,24.74,24.78,24.82,24.86,24.9,27.7,28,28,28.5,28.3,51.3,55.38,59.46,63.54,67.62,71.7,73.42,75.14,76.86,78.58,80.3,83,83,85.8,87.1,88.5
Central African Republic,7.3,7.94,8.58,9.22,9.86,10.5,10.32,10.14,9.96,9.78,9.6,12.5,12.5,12.5,12.5,12.5,0.1,0.14,0.18,0.22,0.26,0.3,0.64,0.98,1.32,1.66,2,2.2,3,3.5,4,4.6
Chad,2.4,3.22,4.04,4.86,5.68,6.5,6.24,5.98,5.72,5.46,5.2,12.8,14.9,14.9,14.9,14.9,0,0.08,0.16,0.24,0.32,0.4,0.66,0.92,1.18,1.44,1.7,1.9,2.1,2.3,2.5,2.7
Chile,8.9,9.5,10.1,10.7,11.3,11.9,12.3,12.7,13.1,13.5,13.9,13.9,13.9,16.5,16.5,15.8,16.6,19.52,22.44,25.36,28.28,31.2,33.96,36.72,39.48,42.24,45,52.3,55,58,61.1,64.3
China,21.8,21.5,21.2,20.9,20.6,20.3,20.5,20.7,20.9,21.1,21.3,21.3,21.3,23.4,23.4,23.6,1.8,3.14,4.48,5.82,7.16,8.5,13.66,18.82,23.98,29.14,34.3,38.3,42.3,45.8,47.9,50.3
Colombia,12.2,11.94,11.68,11.42,11.16,10.9,11.48,12.06,12.64,13.22,13.8,13.6,13.6,13.6,20.9,20.9,2.2,3.96,5.72,7.48,9.24,11,16.1,21.2,26.3,31.4,36.5,40.4,49,51.7,52.6,55.9
Comoros,1.1875,1.55,1.913,2.275,2.638,3,3,3,3,3,3,3,3,3,3,3,0.3,0.64,0.98,1.32,1.66,2,2.62,3.24,3.86,4.48,5.1,5.5,6,6.5,7,7.5
Congo,12,11.62,11.24,10.86,10.48,10.1,9.92,9.74,9.56,9.38,9.2,9.6,9.6,9.6,11.5,11.5,0,0.3,0.6,0.9,1.2,1.5,2.2,2.9,3.6,4.3,5,5.6,6.1,6.6,7.1,7.6
Congo (Democratic Republic of the),,,,,,10.2,9.7,9.2,8.7,8.2,7.7,8,8.3,8.3,9.7,8.2,0,0.04,0.08,0.12,0.16,0.2,0.3,0.4,0.5,0.6,0.7,1.2,1.7,2.2,3,3.8
Costa Rica,19.3,22.46,25.62,28.78,31.94,35.1,35.8,36.5,37.2,37.9,38.6,38.6,38.6,38.6,33.3,33.3,5.8,9.06,12.32,15.58,18.84,22.1,24.98,27.86,30.74,33.62,36.5,39.2,47.5,46,53,59.8
Croatia,16.1,17.22,18.34,19.46,20.58,21.7,22.06,22.42,22.78,23.14,23.5,23.8,23.8,23.8,23.8,15.2,6.6,11.9,17.2,22.5,27.8,33.1,37.78,42.46,47.14,51.82,56.5,57.8,61.9,66.7,68.6,69.8
Cuba,27.6,29.28,30.96,32.64,34.32,36,37.44,38.88,40.32,41.76,43.2,45.2,45.2,48.9,48.9,48.9,0.5,2.34,4.18,6.02,7.86,9.7,10.94,12.18,13.42,14.66,15.9,16,21.2,27.9,29.1,31.1
Cyprus,7.1,8.9,10.7,12.5,14.3,16.1,15.38,14.66,13.94,13.22,12.5,10.7,10.7,10.7,12.5,12.5,15.3,18.8,22.3,25.8,29.3,32.8,36.84,40.88,44.92,48.96,53,56.9,60.7,65.5,69.3,71.7
Czech Republic,14.575,14.8,15.025,15.25,15.475,15.7,16.76,17.82,18.88,19.94,21,21,20.6,18.9,18.5,19.6,9.8,14.9,20,25.1,30.2,35.3,42,48.7,55.4,62.1,68.8,70.5,73.4,74.1,79.7,81.3
C̫te d'Ivoire,8.1875,8.25,8.313,8.375,8.438,8.5,8.58,8.66,8.74,8.82,8.9,11,10.4,10.4,9.4,9.2,0.2,0.36,0.52,0.68,0.84,1,1.34,1.68,2.02,2.36,2.7,2.9,5,8.4,14.6,21
Denmark,37.4,37.3,37.2,37.1,37,36.9,37.12,37.34,37.56,37.78,38,39.1,39.1,39.1,39.1,37.4,39.2,47.9,56.6,65.3,74,82.7,83.9,85.1,86.3,87.5,88.7,89.8,92.3,94.6,96,96.3
Djibouti,0.1,2.24,4.38,6.52,8.66,10.8,11.4,12,12.6,13.2,13.8,13.8,13.8,12.7,12.7,12.7,0.2,0.36,0.52,0.68,0.84,1,2.1,3.2,4.3,5.4,6.5,7,8.3,9.5,10.7,11.9
Dominica,10.7125,11.15,11.588,12.025,12.463,12.9,12.82,12.74,12.66,12.58,12.5,12.5,12.5,12.5,12.9,21.9,8.8,14.74,20.68,26.62,32.56,38.5,40.3,42.1,43.9,45.7,47.5,48.6,49.8,51,57.5,67.6
Dominican Republic,14.5,14.68,14.86,15.04,15.22,15.4,16.14,16.88,17.62,18.36,19.1,19.1,19.1,19.1,19.1,19.1,3.7,5.26,6.82,8.38,9.94,11.5,15.48,19.46,23.44,27.42,31.4,38,42.3,45.9,49.6,51.9
Ecuador,14.6,14.88,15.16,15.44,15.72,16,19.26,22.52,25.78,29.04,32.3,32.3,32.3,38.7,41.6,41.6,1.5,2.4,3.3,4.2,5.1,6,10.6,15.2,19.8,24.4,29,31.4,35.1,40.3,45.6,48.9
Egypt,2,2.36,2.72,3.08,3.44,3.8,3.571,3.343,3.114,2.886,2.6571,2.4286,2.2,2.2,2.2,2.2,0.6,3.04,5.48,7.92,10.36,12.8,14.56,16.32,18.08,19.84,21.6,25.6,26.4,29.4,33.9,35.9
El Salvador,9.5,9.74,9.98,10.22,10.46,10.7,12.36,14.02,15.68,17.34,19,19,26.2,26.2,27.4,32.1,1.2,1.8,2.4,3,3.6,4.2,6.54,8.88,11.22,13.56,15.9,18.9,20.3,23.1,24.8,26.9
Equatorial Guinea,5,7.6,10.2,12.8,15.4,18,16.4,14.8,13.2,11.6,10,10,10,10.3,18.3,19.7,0.1,0.3,0.5,0.7,0.9,1.1,2.08,3.06,4.04,5.02,6,11.5,13.9,16.4,18.9,21.3
Eritrea,14.7,16.16,17.62,19.08,20.54,22,22,22,22,22,22,22,22,22,22,22,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.7,0.8,0.9,1,1.1
Estonia,17.8,18,18.2,18.4,18.6,18.8,19.6,20.4,21.2,22,22.8,19.8,20.8,20.8,19,23.8,28.6,35.18,41.76,48.34,54.92,61.5,64.02,66.54,69.06,71.58,74.1,76.5,78.4,79.4,84.2,88.4
Ethiopia,,,,,,21,21.9,22.8,23.7,24.6,25.5,25.5,25.5,25.5,25.5,37.3,0,0.04,0.08,0.12,0.16,0.2,0.32,0.44,0.56,0.68,0.8,1.1,2.9,4.6,7.7,11.6
Fiji,7.2625,7.75,8.238,8.725,9.212,9.7,10.178,10.656,11.133,11.611,12.0889,12.5667,13.0444,13.5222,14,16,1.5,2.9,4.3,5.7,7.1,8.5,10.8,13.1,15.4,17.7,20,28,33.7,37.1,41.8,46.3
Finland,36.5,36.7,36.9,37.1,37.3,37.5,38,38.5,39,39.5,40,42.5,42.5,42.5,42.5,41.5,37.2,44.66,52.12,59.58,67.04,74.5,76.98,79.46,81.94,84.42,86.9,88.7,89.9,91.5,92.4,92.7
France,9.1,10.06,11.02,11.98,12.94,13.9,15.12,16.34,17.56,18.78,20,20.1,25.1,25.1,25.7,25.7,14.3,20.02,25.74,31.46,37.18,42.9,49.78,56.66,63.54,70.42,77.3,77.8,81.4,81.9,83.8,84.7
Gabon,10.9,11.1,11.3,11.5,11.7,11.9,12.74,13.58,14.42,15.26,16.1,15.8,16.7,16.7,15.8,16,1.2,1.94,2.68,3.42,4.16,4.9,5.36,5.82,6.28,6.74,7.2,8,8.6,9.2,20,23.5
Gambia,2,4.24,6.48,8.72,10.96,13.2,12.06,10.92,9.78,8.64,7.5,7.5,7.5,7.5,9.4,9.4,0.9,1.48,2.06,2.64,3.22,3.8,4.88,5.96,7.04,8.12,9.2,10.9,12.4,14,16.5,17.1
Georgia,7.2,7.64,8.08,8.52,8.96,9.4,8.82,8.24,7.66,7.08,6.5,6.6,12,12,12,11.3,0.5,1.62,2.74,3.86,4.98,6.1,10.26,14.42,18.58,22.74,26.9,31.5,36.9,43.3,44,45.2
Germany,30.4,30.42,30.44,30.46,30.48,30.5,30.74,30.98,31.22,31.46,31.7,32.4,32.4,35.6,35.6,36.9,30.2,37.9,45.6,53.3,61,68.7,71.36,74.02,76.68,79.34,82,81.3,82.3,84.2,86.2,87.6
Ghana,9.7125,9.95,10.188,10.425,10.663,10.9,10.38,9.86,9.34,8.82,8.3,8.3,9.6,10.9,10.9,10.9,0.2,0.52,0.84,1.16,1.48,1.8,3,4.2,5.4,6.6,7.8,9,10.6,12.3,18.9,23.5
Greece,8.7,9.56,10.42,11.28,12.14,13,13.86,14.72,15.58,16.44,17.3,18.7,21,21,21,19.7,9.1,12.08,15.06,18.04,21.02,24,28.08,32.16,36.24,40.32,44.4,51.6,55.1,59.9,63.2,66.8
Grenada,17.9,20.74,23.58,26.42,29.26,32.1,29.96,27.82,25.68,23.54,21.4,17.9,17.9,25,25,25,4.1,7.38,10.66,13.94,17.22,20.5,21.8,23.1,24.4,25.7,27,30,32,35,51.6,53.8
Guatemala,8.8,8.68,8.56,8.44,8.32,8.2,8.96,9.72,10.48,11.24,12,13.3,13.3,13.3,13.3,13.9,0.7,1.7,2.7,3.7,4.7,5.7,6.66,7.62,8.58,9.54,10.5,12.3,16,19.7,23.4,27.1
Guinea,8.8,10.9,13,15.1,17.2,19.3,19.589,19.878,20.167,20.456,20.7444,21.0333,21.3222,21.6111,21.9,21.9,0.1,0.18,0.26,0.34,0.42,0.5,0.6,0.7,0.8,0.9,1,1.3,1.5,1.6,1.7,4.7
Guinea-Bissau,7.8,9.04,10.28,11.52,12.76,14,13.2,12.4,11.6,10.8,10,10,14,14,13.7,13.7,0.2,0.54,0.88,1.22,1.56,1.9,2.02,2.14,2.26,2.38,2.5,2.7,2.9,3.1,3.3,3.5
Guyana,18.5,20.96,23.42,25.88,28.34,30.8,30.64,30.48,30.32,30.16,30,31.3,31.3,31.3,31.3,30.4,6.6,8.93,11.26,13.59,15.92,18.25,20.58,22.91,25.24,27.57,29.9,31,33,35,37.4,38.2
Haiti,,,,,,9.1,8.25,7.4,6.55,5.7,4.85,4,3.5,3.5,3.5,3.5,0.2,1.44,2.68,3.92,5.16,6.4,6.8,7.2,7.6,8,8.4,9,9.8,10.6,11.4,12.2
Honduras,9.4,12.2,15,17.8,20.6,23.4,22.32,21.24,20.16,19.08,18,19.5,19.5,19.5,25.8,25.8,1.2,2.26,3.32,4.38,5.44,6.5,7.42,8.34,9.26,10.18,11.1,15.9,18.1,17.8,19.1,20.4
Hungary,8.3,8.46,8.62,8.78,8.94,9.1,9.1,9.1,9.1,9.1,9.1,8.8,8.8,8.8,10.1,10.1,7,13.4,19.8,26.2,32.6,39,44.2,49.4,54.6,59.8,65,68,70.6,72.6,76.1,72.8
Iceland,34.9,34.58,34.26,33.94,33.62,33.3,35.22,37.14,39.06,40.98,42.9,39.7,39.7,39.7,39.7,41.3,44.5,53,61.5,70,78.5,87,88.28,89.56,90.84,92.12,93.4,94.8,96.2,96.5,98.2,98.2
India,8.05,8.3,8.55,8.8,9.05,9.3,9.58,9.86,10.14,10.42,10.7,10.9,10.9,10.9,11.8,12.2,0.5,0.88,1.26,1.64,2.02,2.4,3.42,4.44,5.46,6.48,7.5,10.1,12.6,15.1,21,26
Indonesia,8,8.66,9.32,9.98,10.64,11.3,12.64,13.98,15.32,16.66,18,18.2,18.6,18.6,16.9,17.1,0.9,1.44,1.98,2.52,3.06,3.6,5.06,6.52,7.98,9.44,10.9,12.3,14.5,14.9,17.1,22
Iran (Islamic Republic of),3.4,3.54,3.68,3.82,3.96,4.1,3.84,3.58,3.32,3.06,2.8,2.8,3.1,3.1,3.1,3.1,0.9,2.34,3.78,5.22,6.66,8.1,9.66,11.22,12.78,14.34,15.9,19,22.7,29.9,39.4,44.1
Iraq,7.6,9.36,11.12,12.88,14.64,16.4,18.16,19.92,21.68,23.44,25.2,25.2,25.2,25.2,25.3,26.5,,,,,,0.9,1.22,1.54,1.86,2.18,2.5,5,7.1,9.2,13.2,17.2
Ireland,13.7,13.8,13.9,14,14.1,14.2,14.58,14.96,15.34,15.72,16.1,19,19,19.9,19.5,19.9,17.9,22.64,27.38,32.12,36.86,41.6,47.24,52.88,58.52,64.16,69.8,74.9,76.9,78.2,79.7,80.1
Israel,12.5,13,13.5,14,14.5,15,15.84,16.68,17.52,18.36,19.2,20,20,22.5,22.5,26.7,20.9,21.76,22.62,23.48,24.34,25.2,33.66,42.12,50.58,59.04,67.5,68.9,70.8,70.3,75,78.9
Italy,10,10.08,10.16,10.24,10.32,10.4,12.38,14.36,16.34,18.32,20.3,20.6,20.6,30.6,30.6,30.1,23.1,25.48,27.86,30.24,32.62,35,38.74,42.48,46.22,49.96,53.7,54.4,55.8,58.5,62,65.6
Jamaica,16,15.52,15.04,14.56,14.08,13.6,13.6,13.6,13.6,13.6,13.6,15.5,15.5,15.5,16.7,16.7,3.1,5.04,6.98,8.92,10.86,12.8,15.78,18.76,21.74,24.72,27.7,37.4,33.8,37.1,40.4,43.2
Japan,10.7,10.7,10.7,10.7,10.7,10.7,11.28,11.86,12.44,13.02,13.6,13.4,11.3,10.8,10.8,11.6,30,37.38,44.76,52.14,59.52,66.9,69.16,71.42,73.68,75.94,78.2,79.1,79.5,88.2,89.1,93.3
Jordan,2.5,3.46,4.42,5.38,6.34,7.3,8.28,9.26,10.24,11.22,12.2,11.1,11.1,12.1,12,11.6,2.6,4.66,6.72,8.78,10.84,12.9,15.76,18.62,21.48,24.34,27.2,34.9,37,41.4,46.2,53.4
Kazakhstan,11.2,10.68,10.16,9.64,9.12,8.6,9.6,10.6,11.6,12.6,13.6,13.6,18.2,18.2,19.8,20.1,0.7,1.16,1.62,2.08,2.54,3,8.72,14.44,20.16,25.88,31.6,50.6,53.3,63,66,72.9
Kenya,3.6,4.3,5,5.7,6.4,7.1,7.64,8.18,8.72,9.26,9.8,9.8,9.8,19.9,20.3,20.8,0.3,0.86,1.42,1.98,2.54,3.1,5.28,7.46,9.64,11.82,14,28,32.1,39,43.4,45.6
Kiribati,4.9,4.88,4.86,4.84,4.82,4.8,4.7,4.6,4.5,4.4,4.3,8.7,8.7,8.7,8.7,8.7,1.8,2.24,2.68,3.12,3.56,4,5.02,6.04,7.06,8.08,9.1,10,10.7,11.5,12.3,13
Korea (Democratic People's Rep. of),20.1,20.1,20.1,20.1,20.1,20.1,19.2,18.3,17.4,16.5,15.6,15.6,15.6,15.6,16.3,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korea (Republic of),5.9,7.4,8.9,10.4,11.9,13.4,13.66,13.92,14.18,14.44,14.7,14.7,15.7,15.7,16.3,16.3,44.7,50.46,56.22,61.98,67.74,73.5,75.54,77.58,79.62,81.66,83.7,83.8,84.1,84.8,87.9,89.9
Kuwait,0.1,0.38,0.66,0.94,1.22,1.5,2.74,3.98,5.22,6.46,7.7,7.7,6.2,6.2,1.5,1.5,6.7,10.54,14.38,18.22,22.06,25.9,33,40.1,47.2,54.3,61.4,65.8,70.5,75.5,78.7,82.1
Kyrgyzstan,6,4.82,3.64,2.46,1.28,0.1,4.74,9.38,14.02,18.66,23.3,23.3,23.3,23.3,23.3,19.2,1,2.9,4.8,6.7,8.6,10.5,11.66,12.82,13.98,15.14,16.3,17.5,19.8,23,28.3,30.2
Lao People's Democratic Republic,21.2,21.54,21.88,22.22,22.56,22.9,23.36,23.82,24.28,24.74,25.2,25,25,25,25,25,0.1,0.24,0.38,0.52,0.66,0.8,2.04,3.28,4.52,5.76,7,9,10.7,12.5,14.3,18.2
Latvia,17,17.8,18.6,19.4,20.2,21,20.8,20.6,20.4,20.2,20,23,23,23,18,18,6.3,14.24,22.18,30.12,38.06,46,50.48,54.96,59.44,63.92,68.4,69.8,73.1,75.2,75.8,79.2
